Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
162,113700,59607,Seattle University,Seattle,WA,Private,,7278,14237,22438,74,5250,26.5,,1130,1330,24,29,,www.seattleu.edu/default.aspx,,,
163,99337,66200,Manhattan School of Music,New York,NY,Private,,1007,59980,24906,43,451,0,,,,,,,,,,
164,94500,59267,Kalamazoo College,Kalamazoo,MI,Private,,1469,23424,29059,73,1436,28,,1180,1380,26,30,,www.kzoo.edu,,,
165,105000,57680,University of Dayton,Dayton,OH,Private,,10882,17220,21293,72,8660,26.5,,1100,1310,24,29,,www.udayton.edu,,,
166,104500,49954,Auburn University,Auburn,AL,Public,,29776,17535,9030,84,23846,27,,1130,1310,24,30,,www.auburn.edu,,,
167,105100,60854,Saint Joseph's University (PA),Philadelphia,PA,Private,,8085,17175,23892,77,5705,25.5,,1110,1290,23,28,,www.sju.edu,,,
168,99400,56890,University of Vermont,Burlington,VT,Public,,13340,20364,16347,67,12945,27.5,,1180,1350,25,30,,www.uvm.edu,,,
169,90500,46474,Samford University,Birmingham,AL,Private,,5509,26292,14879,83,3446,26,,1080,1280,23,29,,www.samford.edu,,,
170,107600,57350,Gonzaga University,Spokane,WA,Private,,7506,16069,21169,65,5333,28,,1180,1350,26,30,,www.gonzaga.edu,,,
171,96600,57749,Wofford College,Spartanburg,SC,Private,,1737,22032,28158,69,1678,29.5,,1120,1310,29,30,,www.wofford.edu,,,
172,106900,64984,Providence College,Providence,RI,Private,,4646,16249,26359,52,4484,28,,1160,1330,26,30,,www.providence.edu/Pages/default.aspx,,,
173,101300,63510,University of Puget Sound,Tacoma,WA,Private,,2701,19325,21534,84,2545,0,,,,,,,www.pugetsound.edu,,,
174,107100,39172,"CUNY, Baruch College",New York,NY,Public,,18775,16192,8944,29,18289,0,,1190,1350,,,,www.baruch.cuny.edu,,,
175,111200,64520,Loyola University Maryland,Baltimore,MD,Private,,5783,14633,26091,75,4175,0,,,,,,,www.loyola.edu,,,
176,107800,42981,"SUNY, Stony Brook (Stony Brook University)",Stony Brook,NY,Public,,25989,15859,9968,42,19871,28.5,,1210,1410,26,31,,www.stonybrook.edu,,,
177,105700,51672,George Mason University,Fairfax,VA,Public,,35984,16934,8567,81,32249,27,,1100,1290,24,30,,www.gmu.edu,,,
178,99400,69464,Chapman University,Orange,CA,Private,,9392,20356,26378,57,6756,27.5,,1190,1360,25,30,,www.chapman.edu,,,
179,101900,65330,Muhlenberg College,Allentown,PA,Private,,2535,18627,25282,48,2367,27.5,,1140,1340,25,30,,www.muhlenberg.edu,,,
180,105900,55273,Marquette University,Milwaukee,WI,Private,,11426,16721,20717,89,8486,26.5,,1130,1310,24,29,,www.marquette.edu,,,
181,102800,40104,San Diego State University,San Diego,CA,Public,,35158,18432,7549,35,31609,25.5,,1090,1290,23,28,,www.sdsu.edu,,,
182,109700,68177,Northeastern University,Boston,MA,Private,,21489,15286,34691,27,18760,33,,1370,1520,32,34,,www.northeastern.edu,,,
183,104700,64054,"University of California, Santa Cruz",Santa Cruz,CA,Public,,19457,17522,18050,51,17925,28.5,,1160,1340,26,31,,www.ucsc.edu,,,
184,93200,62086,Lewis &amp; Clark College,Portland,OR,Private,,3339,24242,25539,71,2174,29,,1210,1390,27,31,,www.lclark.edu,,,
185,107300,51064,Miami University (OH),Oxford,OH,Public,,19700,16188,11894,68,18239,28.5,,1190,1380,26,31,,miamioh.edu,,,
186,100900,44110,"Arizona State University, Tempe",Tempe,AZ,Public,,51164,19686,12081,84,46038,25.5,,1120,1350,22,29,,www.asu.edu,,,
187,102600,42916,University of Utah,Salt Lake City,UT,Public,,32800,18509,7990,66,28686,25.5,,1110,1350,22,29,,www.utah.edu,,,
188,100600,43764,"University of Oklahoma, Norman",Norman,OK,Public,,28527,19807,9372,74,24255,26,,1150,1380,23,29,,www.ou.edu,,,
189,101000,54880,Marist College,Poughkeepsie,NY,Private,,6657,19409,15637,43,6236,0,,,,,,,www.marist.edu,,,
190,108500,69775,Hobart and William Smith Colleges,Geneva,NY,Private,,2295,15615,25110,64,2244,27.5,,1150,1330,25,30,,www.hws.edu,,,
191,95800,49542,University of Oregon,Eugene,OR,Public,,22887,22786,8662,83,22400,25,,1080,1270,22,28,,www.uoregon.edu,,,
192,99900,54020,Drake University,Des Moines,IA,Private,,4904,20073,21239,69,3606,27,,1100,1350,24,30,,www.drake.edu,,,
193,98800,58458,Lawrence University,Appleton,WI,Private,,1545,20547,28643,61,1467,28.5,,1220,1460,25,32,,www.lawrence.edu,,,
194,95800,53452,Creighton University,Omaha,NE,Private,,8654,22766,20293,72,4626,27.5,,1070,1290,25,30,,www.creighton.edu,,,
195,99373,40552,Hillsdale College,Hillsdale,MI,Private,,1556,34532,18540,41,1520,30,,1280,1440,28,32,,www.hillsdale.edu,,,
196,98000,43398,University at Buffalo (SUNY),Buffalo,NY,Public,,30648,21103,8198,57,23075,26,,1080,1260,24,28,,www.buffalo.edu,,,
197,107200,59435,University of Tulsa,Tulsa,OK,Private,,4433,16192,31812,39,3630,28.5,,1150,1440,25,32,,www.utulsa.edu,,,
198,106400,54647,University of Saint Thomas (MN),St. Paul,MN,Private,,9878,16548,21274,84,6424,26.5,,1090,1330,24,29,,www.stthomas.edu,,,
199,106900,62677,"University of California, Riverside",Riverside,CA,Public,,23279,16267,21249,57,21017,26,,1090,1300,23,29,,ucr.edu,,,
200,125700,60212,Manhattan College,Riverdale,NY,Private,,4242,11825,18177,75,3727,25.5,,1050,1243,23,28,,www.manhattan.edu,,,
201,89900,47162,University of South Carolina,Columbia,SC,Public,,34731,26976,5792,72,26791,27.5,,1170,1330,25,30,,www.sc.edu,,,
202,101400,60233,Baylor University,Waco,TX,Private,,17059,19254,21350,39,14951,28.5,,1190,1360,26,31,,www.baylor.edu,,,
203,108600,59904,Bryant University,Smithfield,RI,Private,,3751,15574,20675,73,3503,0,,,,,,,www.bryant.edu,,,
204,98200,42716,University of Mary Washington,Fredericksburg,VA,Public,,4808,21025,5562,73,4800,24.5,,1080,1260,22,27,,www.umw.edu,,,
205,120600,56288,Virginia Military Institute,Lexington,VA,Public,,1766,12739,14434,53,1722,25.5,,1100,1280,23,28,,www.vmi.edu,,,
206,101400,55010,Clark University (MA),Worcester,MA,Private,,3153,19311,24329,56,2476,0,,,,,,,www.clarku.edu,,,
207,130100,66106,Clarkson University,Potsdam,NY,Private,,4233,10729,32540,66,3335,26.5,,1143,1330,24,29,,www.clarkson.edu,,,
208,118500,63749,Illinois Institute of Technology,Chicago,IL,Private,,7164,12899,34485,54,3227,28,,1230,1410,25,31,,www.iit.edu,,,
209,88500,53910,Centre College,Danville,KY,Private,,1450,28222,26184,76,1443,28.5,,1170,1410,26,31,,www.centre.edu,,,
210,109900,65980,University of San Francisco,San Francisco,CA,Private,,11063,15056,27943,66,7495,25,,1100,1290,22,28,,www.usfca.edu,,,
211,101300,34442,Iowa State University,Ames,IA,Public,,36158,19335,7882,89,32814,25,,1160,1410,22,28,,www.iastate.edu,,,
212,102900,46381,Louisiana State University,Baton Rouge,LA,Public,,30861,18413,9304,74,27658,25.5,,1060,1290,23,28,,www.lsu.edu,,,
213,97700,62262,Willamette University,Salem,OR,Private,,2498,21328,27489,89,2181,0,,,,,,,www.willamette.edu,,,
214,96800,55800,Gustavus Adolphus College,St. Peter,MN,Private,,2263,21923,24333,68,2181,0,,,,,,,https://gustavus.edu,,,
215,97700,63770,Quinnipiac University,Hamden,CT,Private,,10200,21316,22460,74,7704,25,,1080,1260,23,27,,www.quinnipiac.edu,,,
216,99300,56740,Butler University,Indianapolis,IN,Private,,5145,20379,16348,65,4311,27.5,,1150,1320,25,30,,www.butler.edu,,,
217,97000,36953,"SUNY, College of Environmental Science and Forestry",Syracuse,NY,Public,,2213,21892,7628,52,1825,26,,1150,1300,24,28,,www.esf.edu,,,
218,101000,51707,University of Arizona,Tucson,AZ,Public,,43751,19456,11272,84,36862,0,,,,,,,www.arizona.edu,,,
219,98600,43330,"University of Missouri, Columbia",Columbia,MO,Public,,30844,20853,9316,78,27923,26,,1120,1350,23,29,,www.missouri.edu,,,
220,108100,50506,The Citadel,Charleston,SC,Public,,3717,15840,11281,81,3043,22.5,,1020,1220,20,25,,www.citadel.edu/root,,,
221,108000,51348,University of Washington Bothell,Bothell,WA,Public,,6175,15855,12946,80,5981,22.5,,1030,1230,19,26,,https://www.uwb.edu,,,
222,94300,65324,Emerson College,Boston,MA,Private,,4459,23539,20323,46,4088,28,,1200,1360,26,30,,www.emerson.edu,,,
223,96100,43437,"Colorado State University, Fort Collins",Fort Collins,CO,Public,,33083,22463,8221,83,28404,25,,1100,1300,22,28,,www.colostate.edu,,,
224,95100,49350,"University of Tennessee, Knoxville",Knoxville,TN,Public,,28321,23188,8903,77,23803,27,,1140,1310,24,30,,www.utk.edu,,,
225,90600,45330,Taylor University,Upland,IN,Private,,2831,26255,17726,87,2145,25.5,,1045,1290,22,29,,www.taylor.edu,,,
226,114800,68792,Drexel University,Philadelphia ,PA,Private,,24190,13921,28767,79,17789,27,,1160,1360,24,30,,www.drexel.edu,,,
227,103200,59560,Stonehill College,Easton,MA,Private,,2536,18093,22865,72,2498,0,,,,,,,www.stonehill.edu,,,
228,91300,32324,University of South Florida,Tampa,FL,Public,,43540,25405,7937,45,37076,26.5,,1150,1310,24,29,,www.usf.edu,,,
229,95400,45130,St. Mary's College of Maryland,St. Mary's City,MD,Public,,1746,22937,8414,82,1598,25,,1070,1290,22,28,,www.smcm.edu,,,
230,90600,70562,Bard College,Annandale-on-Hudson,NY,Private,,2293,26136,39096,58,2101,0,,,,,,,www.bard.edu,,,
231,103700,41675,Washington State University,Pullman,WA,Public,,30614,17923,8572,73,27917,23,,1020,1220,20,26,,www.wsu.edu,,,
232,85800,27878,Truman State University,Kirksville,MO,Public,,6289,30563,8778,67,6272,27,,1185,1420,24,30,,www.truman.edu,,,
233,96000,58830,Illinois Wesleyan University,Bloomington,IL,Private,,1791,22558,26421,61,1649,26.5,,1195,1395,24,29,,www.iwu.edu,,,
234,99265,65409,"St. John's College, Annapolis",Annapolis,MD,Private,,513,0,33723,54,445,29,,1280,1450,26,32,,stjohnscollege.edu,,,
235,93300,34740,"SUNY, Geneseo",Geneseo,NY,Public,,5792,24047,6708,72,5652,26.5,,1120,1300,24,29,,geneseo.edu,,,
236,102400,60930,Westmont College,Santa Barbara,CA,Private,,1356,18592,26711,85,1300,26.5,,1130,1380,23,30,,www.westmont.edu,,,
237,87300,39194,Cedarville University,Cedarville,OH,Private,,3886,29588,14155,71,3666,26,,1130,1350,23,29,,www.cedarville.edu,,,
238,109300,64796,University of the Pacific (CA),Stockton,CA,Private,,6255,15481,26884,65,3639,26,,1070,1330,22,30,,www.pacific.edu,,,
239,96700,40182,"University of Nebraska, Lincoln",Lincoln,NE,Public,,26079,21973,8538,64,22012,25.5,,1100,1380,22,29,,www.unl.edu,,,
240,100900,45488,"University of Texas, Dallas",Richardson,TX,Public,,27642,19519,14321,76,18764,29,,1220,1430,26,32,,www.utdallas.edu,,,
241,87000,67775,Rollins College,Winter Park,FL,Private,,3278,30019,30057,64,2894,0,,,,,,,www.rollins.edu,,,
242,88600,38353,University of Central Florida,Orlando,FL,Public,,66059,27691,5757,50,65100,26.5,,1150,1320,24,29,,www.ucf.edu,,,
243,98600,61339,Ithaca College,Ithaca,NY,Private,,6516,20769,25073,71,6488,0,,,,,,,www.ithaca.edu,,,
244,102900,56275,DePaul University,Chicago,IL,Private,,22769,18378,20387,72,17838,0,,,,,,,www.depaul.edu/Pages/default.aspx,,,
245,122600,38684,Missouri University of Science and Technology,Rolla,MO,Public,,8883,12345,8975,84,7192,28,,1100,1340,25,31,,www.mst.edu,,,
246,100300,47570,University of New Hampshire,Durham,NH,Public,,15363,19979,12539,77,13688,25.5,,1070,1260,23,28,,www.unh.edu,,,
247,90900,45410,Hope College,Holland,MI,Private,,3281,25871,15907,74,3150,26.5,,1090,1320,24,29,,hope.edu,,,
248,96000,59958,Loyola University Chicago,Chicago,IL,Private,,16673,22583,22016,71,12864,26.5,,1120,1310,24,29,,www.luc.edu,,,
249,103800,57090,Seton Hall University,South Orange,NJ,Private,,9801,17877,24710,73,6260,26,,1140,1280,24,28,,www.shu.edu,,,
250,91300,61900,College of Wooster,Wooster,OH,Private,,2122,25429,30851,56,1980,27,,1150,1380,24,30,,wooster.edu,,,
251,99700,61096,University of Scranton,Scranton,PA,Private,,5373,20234,22094,75,3893,25.5,,1080,1280,23,28,,www.scranton.edu,,,
252,97400,46744,University of Alabama,Tuscaloosa,AL,Public,,38563,21474,16494,53,35625,27.5,,1050,1280,23,32,,www.ua.edu,,,
253,88600,56880,College of Saint Benedict,St. Joseph,MN,Private,,2022,27898,28210,81,1937,25,,1010,1220,22,28,,www.csbsju.edu,,,
254,108400,55872,Saint John's University (MN),Collegeville,MN,Private,,1816,15737,27780,80,1815,24.5,,970,1190,22,27,,www.csbsju.edu/About/Saint-Johns-University.htm,,,
255,95000,59877,California Lutheran University,Thousand Oaks,CA,Private,,4236,23244,27282,73,3207,24,,1060,1230,21,27,,www.callutheran.edu,,,
256,117900,51036,"Embry-Riddle Aeronautical University, Prescott",Prescott,AZ,Private,,2663,13012,15756,77,2543,26,,1130,1350,23,29,,www.prescott.erau.edu,,,
257,85700,59442,Beloit College,Beloit,WI,Private,,1509,31014,30344,54,1402,0,,,,,,,www.beloit.edu,,,
258,99300,38067,Western Washington University,Bellingham,WA,Public,,16246,20435,6500,85,15915,25,,1080,1280,22,28,,www.wwu.edu,,,
259,92500,51631,Rockhurst University,Kansas City,MO,Private,,3043,24558,26031,72,2176,24.5,,1050,1230,22,27,,www.rockhurst.edu,,,
260,98600,41074,University of Kansas,Lawrence,KS,Public,,27625,20909,9205,93,20894,25.5,,,,23,28,,www.ku.edu,,,
261,104800,44706,Oregon State University,Corvallis,OR,Public,,30896,17513,8263,79,29777,25,,1070,1300,22,28,,oregonstate.edu,,,
262,103600,41674,"University of Maryland, Baltimore County",Baltimore,MD,Public,,13662,17926,9402,60,12702,26.5,,1140,1360,24,29,,https://www.umbc.edu,,,
263,90100,49844,Point Loma Nazarene University,San Diego,CA,Private,,4417,26760,16687,76,3313,25.5,,1100,1290,23,28,,https://www.pointloma.edu,,,
264,97500,65818,Wheaton College (MA),Norton,MA,Private,,1695,21345,31592,48,1688,28,,1150,1350,26,30,,wheatoncollege.edu,,,
265,101700,69475,New School,New York,NY,Private,,10389,19035,19358,62,8911,26,,1100,1310,24,28,,www.newschool.edu,,,
266,91100,46790,Calvin University,Grand Rapids,MI,Private,,4232,25621,18532,83,3840,26.5,,1100,1330,23,30,,https://www.calvin.edu,,,
267,87200,41876,Christopher Newport University,Newport News,VA,Public,,5081,29748,5737,72,5001,0,,,,,,,cnu.edu,,,
268,121300,51518,New Jersey Institute of Technology,Newark,NJ,Public,,11446,12503,13782,61,9366,27,,1190,1370,24,30,,www.njit.edu,,,
269,93100,58165,Juniata College,Huntingdon,PA,Private,,1638,24263,29639,71,1495,0,,,,,,,www.juniata.edu,,,
270,71100,29539,College of the Ozarks,Point Lookout,MO,Private,,1773,46101,15362,13,1508,23.5,,1088,1235,21,26,,www.cofo.edu,,,
271,98000,40162,University of Arkansas,Fayetteville,AR,Public,,27558,21108,6629,66,24344,26,,1110,1280,23,29,,www.uark.edu,,,
272,101700,35946,"California State University, Long Beach",Long Beach,CA,Public,,37622,18879,8454,28,34415,23,,1020,1230,20,26,,www.csulb.edu,,,
273,110800,37937,"California State Polytechnic University, Pomona",Pomona,CA,Public,,26053,14813,7957,55,24747,23.5,,1010,1230,20,27,,www.csupomona.edu,,,
274,96700,35692,"CUNY, Queens College",Queens,NY,Public,,20379,21946,9104,43,19866,0,,1060,1220,,,,www.qc.cuny.edu/Pages/home.aspx,,,
275,102400,67024,University of Redlands,Redlands,CA,Private,,4898,18576,30419,75,3556,25.5,,1070,1250,23,28,,www.redlands.edu,,,
276,116300,46344,Michigan Technological University,Houghton,MI,Public,,7292,13694,11959,74,6148,27.5,,1160,1340,25,30,,www.mtu.edu,,,
277,86500,43678,New College of Florida,Sarasota,FL,Public,,885,30244,9341,69,859,27.5,,1190,1380,25,30,,www.ncf.edu,,,
278,96400,54876,University of Dallas,Irving,TX,Private,,2510,22202,25952,47,1505,27.5,,1140,1370,24,31,,www.udallas.edu,,,
279,103800,43518,"University of Illinois, Chicago",Chicago,IL,Public,,30539,17893,13415,77,19476,23,,1080,1330,20,26,,www.uic.edu/uic,,,
280,114400,54600,Wabash College,Crawfordsville,IN,Private,,864,14030,28547,63,848,25.5,,1070,1280,23,28,,www.wabash.edu,,,
281,93500,61010,Washington College,Chestertown,MD,Private,,1520,23977,26844,48,1484,0,,,,,,,www.washcoll.edu,,,
282,98500,57560,Saint Michael's College,Colchester,VT,Private,,2126,20913,23373,85,2077,0,,,,,,,www.smcvt.edu,,,
283,105100,62482,The Catholic University of America,Washington,DC,Private,,6023,17190,24577,83,3323,0,,,,,,,www.cua.edu,,,
284,117500,43085,Massachusetts Maritime Academy,Buzzards Bay,MA,Public,,1811,13261,10571,83,1780,23,,1040,1200,21,25,,https://www.maritime.edu,,,
285,101500,53855,Siena College,Loudonville,NY,Private,,3288,19251,24332,78,3226,0,,,,,,,www.siena.edu/pages/1.asp,,,
286,90000,70760,Bennington College,Bennington,VT,Private,,851,26808,35753,57,782,0,,,,,,,www.bennington.edu/Home.aspx,,,
287,97300,55820,John Carroll University,University Heights,OH,Private,,3545,21655,25797,85,3273,24.5,,1000,1140,22,27,,sites.jcu.edu,,,
288,89300,55200,Saint Mary's College (IN),Notre Dame,IN,Private,,1690,27435,25970,78,1637,26,,1030,1250,23,29,,https://www.saintmarys.edu,,,
289,103400,56485,Seattle Pacific University,Seattle,WA,Private,,3783,18003,23350,91,3359,24,,1060,1280,21,27,,www.spu.edu,,,
290,101700,40562,"University at Albany, SUNY",Albany,NY,Public,,17743,19019,9096,54,14939,24,,1080,1260,22,26,,www.albany.edu,,,
291,93100,47930,Messiah College,Mechanicsburg,PA,Private,,3331,24287,18110,77,2866,25.5,,1100,1310,22,29,,www.messiah.edu,,,
292,110400,61260,Hofstra University,Hempstead,NY,Private,,11131,14941,24541,64,7438,26.5,,1130,1310,24,29,,hofstra.edu,,,
293,92500,54516,Biola University,La Mirada,CA,Private,,6172,24545,18028,72,4256,24.5,,1063,1298,21,28,,www.biola.edu,,,
294,96100,52108,Duquesne University,Pittsburgh,PA,Private,,9190,22443,19545,72,6467,26.5,,1120,1270,24,29,,www.duq.edu,,,
295,114700,40046,San Jose State University,San Jose,CA,Public,,35835,13929,8545,67,27394,22.5,,1000,1210,19,26,,www.sjsu.edu,,,
296,101800,66242,Ursinus College,Collegeville,PA,Private,,1576,18877,32962,78,1507,27,,1110,1310,24,30,,www.ursinus.edu,,,
297,110800,65524,Saint Mary's College of California,Moraga,CA,Private,,3913,14824,29572,82,3018,24.5,,1060,1240,22,27,,www.stmarys-ca.edu,,,
298,94800,51202,Regis University,Denver,CO,Private,,8341,23348,21367,60,5127,23,,1070,1266,20,26,,www.regis.edu,,,
299,95900,44190,Temple University,Philadelphia,PA,Public,,39967,22736,10739,57,31739,0,,,,,,,www.temple.edu,,,
300,98400,39222,"California State University, Fullerton",Fullerton,CA,Public,,40905,20926,8436,46,38279,21.5,,1020,1180,19,24,,www.fullerton.edu,,,
301,94500,29454,"CUNY, Hunter College",New York,NY,Public,,23005,23416,8039,40,20626,0,,1120,1290,,,,www.hunter.cuny.edu/main,,,
302,103900,46118,Ohio Northern University,Ada,OH,Private,,3088,17754,20796,66,2310,25,,1130,1310,22,28,,www.onu.edu,,,
303,84500,62850,Maryland Institute College of Art,,MD,Private,,2128,32911,18939,62,2041,26.5,,1060,1290,24,29,,,,,
304,104900,46680,Bradley University,Peoria,IL,Private,,5844,17309,19250,71,4669,25,,1080,1290,22,28,,www.bradley.edu,,,
305,82700,33819,Appalachian State University,Boone,NC,Public,,18811,34752,8312,70,17811,25,,1100,1270,23,27,,www.appstate.edu,,,
306,103900,37306,University of Houston,Houston,TX,Public,,45364,17726,9530,61,40813,25,,1110,1280,23,27,,www.uh.edu,,,
307,85600,50550,Transylvania University,Lexington,KY,Private,,983,31337,21960,95,966,0,,,,,,,https://www.transy.edu,,,
308,96400,45634,University of Kentucky,Lexington,KY,Public,,29465,22292,9387,96,23718,25,,1080,1330,22,28,,www.uky.edu,,,
309,129600,39962,California State University Maritime Academy,Vallejo,CA,Public,,1181,10774,7716,66,1090,0,,,,,,,https://www.csum.edu/web/mycampus/home;jsessionid=788be41b906ebd9485432c0ba641d830,,,
310,89900,51910,Presbyterian College,Clinton,SC,Private,,1280,26883,31372,65,1135,24,,1020,1250,21,27,,www.presby.edu,,,
311,106500,33425,Texas Tech University,Lubbock,TX,Public,,36996,16501,6632,69,32154,24.5,,1070,1240,22,27,,www.texastech.edu,,,
312,111200,51828,"Embry-Riddle Aeronautical University, Daytona Beach",Daytona Beach,FL,Private,,6338,14703,15100,75,5777,25,,1080,1310,22,28,,daytonabeach.erau.edu,,,
313,97300,44490,University of Cincinnati,Cincinnati,OH,Public,,37155,21618,7045,76,28857,25.5,,1120,1340,23,28,,www.uc.edu,,,
314,108600,60360,Hampden-Sydney College,Hampden-Sydney,VA,Private,,1054,15545,26751,55,1046,24,,1050,1265,21,27,,www.hsc.edu,,,
315,93500,54330,Southwestern University,Georgetown,TX,Private,,1536,23948,25506,43,1396,26,,1110,1320,23,29,,www.southwestern.edu,,,
316,88800,57824,Whitworth University,Spokane,WA,Private,,2627,27578,26020,89,2342,26,,1090,1310,23,29,,www.whitworth.edu,,,
317,86200,37790,Franciscan University of Steubenville,Steubenville,OH,Private,,2929,30440,10971,83,2230,25.5,,1080,1300,23,28,,www.franciscan.edu,,,
318,80900,50740,Belmont University,Nashville,TN,Private,,8012,35737,13488,81,6636,26.5,,1140,1310,24,29,,www.belmont.edu,,,
319,100300,56846,Saint Anselm College,Manchester,NH,Private,,1995,19959,23338,76,1964,26,,1140,1300,24,28,,www.anselm.edu,,,
320,91200,38754,Towson University,Towson,MD,Public,,22705,25596,8815,77,21615,23,,1055,1210,21,25,,www.towson.edu,,,
321,89900,50868,University of Evansville,Evansville,IN,Private,,2537,26933,26391,70,2516,25.5,,1020,1255,22,29,,www.evansville.edu,,,
322,88400,58670,Earlham College,Richmond,IN,Private,,1128,28240,36987,52,1072,27.5,,1190,1400,25,30,,earlham.edu,,,
